,a,c,b,d,g,f,m,l,p,s,w
a,1.0,0.210796155611,0.325384549062,0.110713801907,0.137250817016,0.182386975366,0.0618747683944,0.249463524927,0.184517248147,0.247032929766,0.12714705364
c,0.210796155611,1.0,0.277470804842,-0.290663092419,0.0254111175257,0.381560490339,0.183085518165,0.57718483359,0.110116288654,0.20409065911,-0.00423730491034
b,0.325384549062,0.277470804842,1.0,-0.0806841688187,0.221543671685,0.346170067361,0.0702602837081,0.301486768084,0.0764656163557,0.10314593997,0.161542742151
d,0.110713801907,-0.290663092419,-0.0806841688187,1.0,0.0411146778938,-0.103492265545,-0.0107986557376,0.0726754524854,-0.0700740874545,-0.0470382133402,-0.176003598203
g,0.137250817016,0.0254111175257,0.221543671685,0.0411146778938,1.0,0.169108259686,0.203395657917,0.155826488702,0.0343466061702,0.0358002459883,0.0903791684234
f,0.182386975366,0.381560490339,0.346170067361,-0.103492265545,0.169108259686,1.0,0.305356389297,0.409105027228,0.0468178283476,0.0517657582167,0.0138194293682
m,0.0618747683944,0.183085518165,0.0702602837081,-0.0107986557376,0.203395657917,0.305356389297,1.0,0.279479804627,0.168478431679,0.0404742162843,0.149267729101
l,0.249463524927,0.57718483359,0.301486768084,0.0726754524854,0.155826488702,0.409105027228,0.279479804627,1.0,0.00509924985094,0.145882127445,-0.05595914564
p,0.184517248147,0.110116288654,0.0764656163557,-0.0700740874545,0.0343466061702,0.0468178283476,0.168478431679,0.00509924985094,1.0,0.253673661763,0.0213120836023
s,0.247032929766,0.20409065911,0.10314593997,-0.0470382133402,0.0358002459883,0.0517657582167,0.0404742162843,0.145882127445,0.253673661763,1.0,0.109802505244
w,0.12714705364,-0.00423730491034,0.161542742151,-0.176003598203,0.0903791684234,0.0138194293682,0.149267729101,-0.05595914564,0.0213120836023,0.109802505244,1.0
